"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\data\repo\get_all_garages_repo.dart", "Dart", 16, 0, 7, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\logic\current_position_cubit\google_map_cubit.dart", "Dart", 24, 0, 9, 33
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\logic\current_position_cubit\google_map_state.dart", "Dart", 10, 0, 13, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\logic\garages_cubit\garages_cubit.dart", "Dart", 43, 17, 8, 68
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\logic\garages_cubit\garages_state.dart", "Dart", 8, 1, 4, 13
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\ui\main_screen_map.dart", "Dart", 40, 0, 6, 46
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\ui\widgets\my_google_map.dart", "Dart", 36, 3, 3, 42
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\main_wrapper\home_page.dart", "Dart", 86, 2, 7, 95
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\main_wrapper\widgets\nav_bar.dart", "Dart", 47, 11, 6, 64
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\notification\ui\notification_page.dart", "Dart", 25, 11, 5, 41
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\notification\ui\widgets\notification_tiles.dart", "Dart", 48, 1, 4, 53
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\onboarding\onboarding_screen.dart", "Dart", 41, 0, 4, 45
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\onboarding\widgets\doc_logo_and_name.dart", "Dart", 21, 0, 4, 25
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\onboarding\widgets\doctor_image_and_text.dart", "Dart", 40, 0, 5, 45
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\onboarding\widgets\get_started_button.dart", "Dart", 32, 0, 4, 36
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\data\models\get_user_data_response.dart", "Dart", 32, 1, 17, 50
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\data\repo\get_user_data_repo.dart", "Dart", 16, 0, 8, 24
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\logic\get_user_data_cubit\get_user_data_cubit.dart", "Dart", 18, 0, 5, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\logic\get_user_data_cubit\get_user_data_state.dart", "Dart", 8, 0, 3, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\profile_page.dart", "Dart", 74, 2, 7, 83
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\widgets\car_info_card.dart", "Dart", 61, 1, 7, 69
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\widgets\info_holder.dart", "Dart", 66, 5, 10, 81
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\widgets\personal_info_card.dart", "Dart", 48, 0, 10, 58
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\widgets\profile_header.dart", "Dart", 62, 1, 5, 68
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\profile\ui\widgets\profile_page_lisnter.dart", "Dart", 29, 0, 3, 32
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\main.dart", "Dart", 41, 2, 7, 50
"Total", "-", 4470, 372, 803, 5645
